"","X1","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"39",40,5.95,8,400,175,4464,11.5,71,1,"pontiac catalina brougham"
"40",41,5.95,8,351,153,4154,13.5,71,1,"ford galaxie 500"
"41",42,5.95,8,318,150,4096,13,71,1,"plymouth fury iii"
"42",43,5.1,8,383,180,4955,11.5,71,1,"dodge monaco (sw)"
"43",44,5.525,8,400,170,4746,12,71,1,"ford country squire (sw)"
"44",45,5.525,8,400,175,5140,12,71,1,"pontiac safari (sw)"
"45",46,7.65,6,258,110,2962,13.5,71,1,"amc hornet sportabout (sw)"
"46",47,9.35,4,140,72,2408,19,71,1,"chevrolet vega (sw)"
"47",48,8.075,6,250,100,3282,15,71,1,"pontiac firebird"
"48",49,7.65,6,250,88,3139,14.5,71,1,"ford mustang"
"49",50,9.775,4,122,86,2220,14,71,1,"mercury capri 2000"
"50",51,11.9,4,116,90,2123,14,71,2,"opel 1900"
"51",52,12.75,4,79,70,2074,19.5,71,2,"peugeot 304"
"52",53,12.75,4,88,76,2065,14.5,71,2,"fiat 124b"
"53",54,13.175,4,71,65,1773,19,71,3,"toyota corolla 1200"
"54",55,14.875,4,72,69,1613,18,71,3,"datsun 1200"
"55",56,11.475,4,97,60,1834,19,71,2,"volkswagen model 111"
"56",57,11.05,4,91,70,1955,20.5,71,1,"plymouth cricket"
"57",58,10.2,4,113,95,2278,15.5,72,3,"toyota corona hardtop"
"58",59,10.625,4,97.5,80,2126,17,72,1,"dodge colt hardtop"
"59",60,9.775,4,97,54,2254,23.5,72,2,"volkswagen type 3"
"60",61,8.5,4,140,90,2408,19.5,72,1,"chevrolet vega"
"61",62,8.925,4,122,86,2226,16.5,72,1,"ford pinto runabout"
"62",63,5.525,8,350,165,4274,12,72,1,"chevrolet impala"
"63",64,5.95,8,400,175,4385,12,72,1,"pontiac catalina"
"64",65,6.375,8,318,150,4135,13.5,72,1,"plymouth fury iii"
"65",66,5.95,8,351,153,4129,13,72,1,"ford galaxie 500"
"66",67,7.225,8,304,150,3672,11.5,72,1,"amc ambassador sst"
"67",68,4.675,8,429,208,4633,11,72,1,"mercury marquis"
"68",69,5.525,8,350,155,4502,13.5,72,1,"buick lesabre custom"
"69",70,5.1,8,350,160,4456,13.5,72,1,"oldsmobile delta 88 royale"
"70",71,5.525,8,400,190,4422,12.5,72,1,"chrysler newport royal"
"71",72,8.075,3,70,97,2330,13.5,72,3,"mazda rx2 coupe"
"72",73,6.375,8,304,150,3892,12.5,72,1,"amc matador (sw)"
"73",74,5.525,8,307,130,4098,14,72,1,"chevrolet chevelle concours (sw)"
"74",75,5.525,8,302,140,4294,16,72,1,"ford gran torino (sw)"
"75",76,5.95,8,318,150,4077,14,72,1,"plymouth satellite custom (sw)"
"76",77,7.65,4,121,112,2933,14.5,72,2,"volvo 145e (sw)"
"77",78,9.35,4,121,76,2511,18,72,2,"volkswagen 411 (sw)"
"78",79,8.925,4,120,87,2979,19.5,72,2,"peugeot 504 (sw)"
"79",80,11.05,4,96,69,2189,18,72,2,"renault 12 (sw)"
"80",81,9.35,4,122,86,2395,16,72,1,"ford pinto (sw)"
"81",82,11.9,4,97,92,2288,17,72,3,"datsun 510 (sw)"
"82",83,9.775,4,120,97,2506,14.5,72,3,"toyouta corona mark ii (sw)"
"83",84,11.9,4,98,80,2164,15,72,1,"dodge colt (sw)"
"84",85,11.475,4,97,88,2100,16.5,72,3,"toyota corolla 1600 (sw)"
"85",86,5.525,8,350,175,4100,13,73,1,"buick century 350"
"86",87,5.95,8,304,150,3672,11.5,73,1,"amc matador"
"87",88,5.525,8,350,145,3988,13,73,1,"chevrolet malibu"
"88",89,5.95,8,302,137,4042,14.5,73,1,"ford gran torino"
"89",90,6.375,8,318,150,3777,12.5,73,1,"dodge coronet custom"
"90",91,5.1,8,429,198,4952,11.5,73,1,"mercury marquis brougham"
"91",92,5.525,8,400,150,4464,12,73,1,"chevrolet caprice classic"
"92",93,5.525,8,351,158,4363,13,73,1,"ford ltd"
"93",94,5.95,8,318,150,4237,14.5,73,1,"plymouth fury gran sedan"
"94",95,5.525,8,440,215,4735,11,73,1,"chrysler new yorker brougham"
"95",96,5.1,8,455,225,4951,11,73,1,"buick electra 225 custom"
"96",97,5.525,8,360,175,3821,11,73,1,"amc ambassador brougham"
"97",98,7.65,6,225,105,3121,16.5,73,1,"plymouth valiant"
"98",99,6.8,6,250,100,3278,18,73,1,"chevrolet nova custom"
"99",100,7.65,6,232,100,2945,16,73,1,"amc hornet"
"100",101,7.65,6,250,88,3021,16.5,73,1,"ford maverick"
"101",102,9.775,6,198,95,2904,16,73,1,"plymouth duster"
"102",103,11.05,4,97,46,1950,21,73,2,"volkswagen super beetle"
"103",104,4.675,8,400,150,4997,14,73,1,"chevrolet impala"
"104",105,5.1,8,400,167,4906,12.5,73,1,"ford country"
"105",106,5.525,8,360,170,4654,13,73,1,"plymouth custom suburb"
"106",107,5.1,8,350,180,4499,12.5,73,1,"oldsmobile vista cruiser"
"107",108,7.65,6,232,100,2789,15,73,1,"amc gremlin"
"108",109,8.5,4,97,88,2279,19,73,3,"toyota carina"
"109",110,8.925,4,140,72,2401,19.5,73,1,"chevrolet vega"
"110",111,9.35,4,108,94,2379,16.5,73,3,"datsun 610"
"111",112,7.65,3,70,90,2124,13.5,73,3,"maxda rx3"
"112",113,8.075,4,122,85,2310,18.5,73,1,"ford pinto"
"113",114,8.925,6,155,107,2472,14,73,1,"mercury capri v6"
"114",115,11.05,4,98,90,2265,15.5,73,2,"fiat 124 sport coupe"
"115",116,6.375,8,350,145,4082,13,73,1,"chevrolet monte carlo s"
"116",117,6.8,8,400,230,4278,9.5,73,1,"pontiac grand prix"
"117",118,12.325,4,68,49,1867,19.5,73,2,"fiat 128"
"118",119,10.2,4,116,75,2158,15.5,73,2,"opel manta"
"119",120,8.5,4,114,91,2582,14,73,2,"audi 100ls"
"120",121,8.075,4,121,112,2868,15.5,73,2,"volvo 144ea"
"121",122,6.375,8,318,150,3399,11,73,1,"dodge dart custom"
"122",123,10.2,4,121,110,2660,14,73,2,"saab 99le"
"123",124,8.5,6,156,122,2807,13.5,73,3,"toyota mark ii"
"124",125,4.675,8,350,180,3664,11,73,1,"oldsmobile omega"
"125",126,8.5,6,198,95,3102,16.5,74,1,"plymouth duster"
"126",128,8.075,6,232,100,2901,16,74,1,"amc hornet"
"127",129,6.375,6,250,100,3336,17,74,1,"chevrolet nova"
"128",130,13.175,4,79,67,1950,19,74,3,"datsun b210"
"129",131,11.05,4,122,80,2451,16.5,74,1,"ford pinto"
"130",132,13.6,4,71,65,1836,21,74,3,"toyota corolla 1200"
"131",133,10.625,4,140,75,2542,17,74,1,"chevrolet vega"
"132",134,6.8,6,250,100,3781,17,74,1,"chevrolet chevelle malibu classic"
"133",135,6.8,6,258,110,3632,18,74,1,"amc matador"
"134",136,7.65,6,225,105,3613,16.5,74,1,"plymouth satellite sebring"
"135",137,6.8,8,302,140,4141,14,74,1,"ford gran torino"
"136",138,5.525,8,350,150,4699,14.5,74,1,"buick century luxus (sw)"
"137",139,5.95,8,318,150,4457,13.5,74,1,"dodge coronet custom (sw)"
"138",140,5.95,8,302,140,4638,16,74,1,"ford gran torino (sw)"
"139",141,5.95,8,304,150,4257,15.5,74,1,"amc matador (sw)"
"140",142,12.325,4,98,83,2219,16.5,74,2,"audi fox"
"141",143,11.05,4,79,67,1963,15.5,74,2,"volkswagen dasher"
"142",144,11.05,4,97,78,2300,14.5,74,2,"opel manta"
"143",145,13.175,4,76,52,1649,16.5,74,3,"toyota corona"
"144",146,13.6,4,83,61,2003,19,74,3,"datsun 710"
"145",147,11.9,4,90,75,2125,14.5,74,1,"dodge colt"
"146",148,10.2,4,90,75,2108,15.5,74,2,"fiat 128"
"147",149,11.05,4,116,75,2246,14,74,2,"fiat 124 tc"
"148",150,10.2,4,120,97,2489,15,74,3,"honda civic"
"149",151,11.05,4,108,93,2391,15.5,74,3,"subaru"
"150",152,13.175,4,79,67,2000,16,74,2,"fiat x1.9"
"151",153,8.075,6,225,95,3264,16,75,1,"plymouth valiant custom"
"152",154,7.65,6,250,105,3459,16,75,1,"chevrolet nova"
"153",155,6.375,6,250,72,3432,21,75,1,"mercury monarch"
"154",156,6.375,6,250,72,3158,19.5,75,1,"ford maverick"
"155",157,6.8,8,400,170,4668,11.5,75,1,"pontiac catalina"
"156",158,6.375,8,350,145,4440,14,75,1,"chevrolet bel air"
"157",159,6.8,8,318,150,4498,14.5,75,1,"plymouth grand fury"
"158",160,5.95,8,351,148,4657,13.5,75,1,"ford ltd"
"159",161,7.225,6,231,110,3907,21,75,1,"buick century"
"160",162,6.8,6,250,105,3897,18.5,75,1,"chevroelt chevelle malibu"
"161",163,6.375,6,258,110,3730,19,75,1,"amc matador"
"162",164,7.65,6,225,95,3785,19,75,1,"plymouth fury"
"163",165,8.925,6,231,110,3039,15,75,1,"buick skyhawk"
"164",166,8.5,8,262,110,3221,13.5,75,1,"chevrolet monza 2+2"
"165",167,5.525,8,302,129,3169,12,75,1,"ford mustang ii"
"166",168,12.325,4,97,75,2171,16,75,3,"toyota corolla"
"167",169,9.775,4,140,83,2639,17,75,1,"ford pinto"
"168",170,8.5,6,232,100,2914,16,75,1,"amc gremlin"
"169",171,9.775,4,140,78,2592,18.5,75,1,"pontiac astro"
"170",172,10.2,4,134,96,2702,13.5,75,3,"toyota corona"
"171",173,10.625,4,90,71,2223,16.5,75,2,"volkswagen dasher"
"172",174,10.2,4,119,97,2545,17,75,3,"datsun 710"
"173",175,7.65,6,171,97,2984,14.5,75,1,"ford pinto"
"174",176,12.325,4,90,70,1937,14,75,2,"volkswagen rabbit"
"175",177,8.075,6,232,90,3211,17,75,1,"amc pacer"
"176",178,9.775,4,115,95,2694,15,75,2,"audi 100ls"
"177",179,9.775,4,120,88,2957,17,75,2,"peugeot 504"
"178",180,9.35,4,121,98,2945,14.5,75,2,"volvo 244dl"
"179",181,10.625,4,121,115,2671,13.5,75,2,"saab 99le"
"180",182,14.025,4,91,53,1795,17.5,75,3,"honda civic cvcc"
"181",183,11.9,4,107,86,2464,15.5,76,2,"fiat 131"
"182",184,10.625,4,116,81,2220,16.9,76,2,"opel 1900"
"183",185,10.625,4,140,92,2572,14.9,76,1,"capri ii"
"184",186,11.05,4,98,79,2255,17.7,76,1,"dodge colt"
"185",187,11.475,4,101,83,2202,15.3,76,2,"renault 12tl"
"186",188,7.4375,8,305,140,4215,13,76,1,"chevrolet chevelle malibu classic"
"187",189,6.8,8,318,150,4190,13,76,1,"dodge coronet brougham"
"188",190,6.5875,8,304,120,3962,13.9,76,1,"amc matador"
"189",191,6.1625,8,351,152,4215,12.8,76,1,"ford gran torino"
"190",192,9.35,6,225,100,3233,15.4,76,1,"plymouth valiant"
"191",193,9.35,6,250,105,3353,14.5,76,1,"chevrolet nova"
"192",194,10.2,6,200,81,3012,17.6,76,1,"ford maverick"
"193",195,9.5625,6,232,90,3085,17.6,76,1,"amc hornet"
"194",196,12.325,4,85,52,2035,22.2,76,1,"chevrolet chevette"
"195",197,10.4125,4,98,60,2164,22.1,76,1,"chevrolet woody"
"196",198,12.325,4,90,70,1937,14.2,76,2,"vw rabbit"
"197",199,14.025,4,91,53,1795,17.4,76,3,"honda civic"
"198",200,8.5,6,225,100,3651,17.7,76,1,"dodge aspen se"
"199",201,7.65,6,250,78,3574,21,76,1,"ford granada ghia"
"200",202,7.8625,6,250,110,3645,16.2,76,1,"pontiac ventura sj"
"201",203,7.4375,6,258,95,3193,17.8,76,1,"amc pacer d/l"
"202",204,12.5375,4,97,71,1825,12.2,76,2,"volkswagen rabbit"
"203",205,13.6,4,85,70,1990,17,76,3,"datsun b-210"
"204",206,11.9,4,97,75,2155,16.4,76,3,"toyota corolla"
"205",207,11.2625,4,140,72,2565,13.6,76,1,"ford pinto"
"206",208,8.5,4,130,102,3150,15.7,76,2,"volvo 245"
"207",209,5.525,8,318,150,3940,13.2,76,1,"plymouth volare premier v8"
"208",210,8.075,4,120,88,3270,21.9,76,2,"peugeot 504"
"209",211,8.075,6,156,108,2930,15.5,76,3,"toyota mark ii"
"210",212,7.0125,6,168,120,3820,16.7,76,2,"mercedes-benz 280s"
"211",213,7.0125,8,350,180,4380,12.1,76,1,"cadillac seville"
"212",214,5.525,8,350,145,4055,12,76,1,"chevy c10"
"213",215,5.525,8,302,130,3870,15,76,1,"ford f108"
"214",216,5.525,8,318,150,3755,14,76,1,"dodge d100"
"215",217,13.3875,4,98,68,2045,18.5,77,3,"honda accord cvcc"
"216",218,12.75,4,111,80,2155,14.8,77,1,"buick opel isuzu deluxe"
"217",219,15.3,4,79,58,1825,18.6,77,2,"renault 5 gtl"
"218",220,10.8375,4,122,96,2300,15.5,77,1,"plymouth arrow gs"
"219",221,14.2375,4,85,70,1945,16.8,77,3,"datsun f-10 hatchback"
"220",222,7.4375,8,305,145,3880,12.5,77,1,"chevrolet caprice classic"
"221",223,7.225,8,260,110,4060,19,77,1,"oldsmobile cutlass supreme"
"222",224,6.5875,8,318,145,4140,13.7,77,1,"dodge monaco brougham"
"223",225,6.375,8,302,130,4295,14.9,77,1,"mercury cougar brougham"
"224",226,7.4375,6,250,110,3520,16.4,77,1,"chevrolet concours"
"225",227,8.7125,6,231,105,3425,16.9,77,1,"buick skylark"
"226",228,8.075,6,225,100,3630,17.7,77,1,"plymouth volare custom"
"227",229,7.8625,6,250,98,3525,19,77,1,"ford granada"
"228",230,6.8,8,400,180,4220,11.1,77,1,"pontiac grand prix lj"
"229",231,6.5875,8,350,170,4165,11.4,77,1,"chevrolet monte carlo landau"
"230",232,6.5875,8,400,190,4325,12.2,77,1,"chrysler cordoba"
"231",233,6.8,8,351,149,4335,14.5,77,1,"ford thunderbird"
"232",234,12.325,4,97,78,1940,14.5,77,2,"volkswagen rabbit custom"
"233",235,10.4125,4,151,88,2740,16,77,1,"pontiac sunbird coupe"
"234",236,11.05,4,97,75,2265,18.2,77,3,"toyota corolla liftback"
"235",237,10.8375,4,140,89,2755,15.8,77,1,"ford mustang ii 2+2"
"236",238,12.9625,4,98,63,2051,17,77,1,"chevrolet chevette"
"237",239,14.2375,4,98,83,2075,15.9,77,1,"dodge colt m/m"
"238",240,12.75,4,97,67,1985,16.4,77,3,"subaru dl"
"239",241,12.9625,4,97,78,2190,14.1,77,2,"volkswagen dasher"
"240",242,9.35,6,146,97,2815,14.5,77,3,"datsun 810"
"241",243,9.1375,4,121,110,2600,12.8,77,2,"bmw 320i"
"242",244,9.1375,3,80,110,2720,13.5,77,3,"mazda rx-4"
"243",245,18.3175,4,90,48,1985,21.5,78,2,"volkswagen rabbit custom diesel"
"244",246,15.3425,4,98,66,1800,14.4,78,1,"ford fiesta"
"245",247,13.94,4,78,52,1985,19.4,78,3,"mazda glc deluxe"
"246",248,16.745,4,85,70,2070,18.6,78,3,"datsun b210 gx"
"247",249,15.3425,4,91,60,1800,16.4,78,3,"honda civic cvcc"
"248",250,8.4575,8,260,110,3365,15.5,78,1,"oldsmobile cutlass salon brougham"
"249",251,8.245,8,318,140,3735,13.2,78,1,"dodge diplomat"
"250",252,8.585,8,302,139,3570,12.8,78,1,"mercury monarch ghia"
"251",253,8.16,6,231,105,3535,19.2,78,1,"pontiac phoenix lj"
"252",254,8.7125,6,200,95,3155,18.2,78,1,"chevrolet malibu"
"253",255,8.585,6,200,85,2965,15.8,78,1,"ford fairmont (auto)"
"254",256,10.6675,4,140,88,2720,15.4,78,1,"ford fairmont (man)"
"255",257,8.7125,6,225,100,3430,17.2,78,1,"plymouth volare"
"256",258,8.245,6,232,90,3210,17.2,78,1,"amc concord"
"257",259,8.755,6,231,105,3380,15.8,78,1,"buick century special"
"258",260,8.84,6,200,85,3070,16.7,78,1,"mercury zephyr"
"259",261,7.905,6,225,110,3620,18.7,78,1,"dodge aspen"
"260",262,7.6925,6,258,120,3410,15.1,78,1,"amc concord d/l"
"261",263,8.16,8,305,145,3425,13.2,78,1,"chevrolet monte carlo landau"
"262",264,7.5225,6,231,165,3445,13.4,78,1,"buick regal sport coupe (turbo)"
"263",265,7.6925,8,302,139,3205,11.2,78,1,"ford futura"
"264",266,7.4375,8,318,140,4080,13.7,78,1,"dodge magnum xe"
"265",267,12.75,4,98,68,2155,16.5,78,1,"chevrolet chevette"
"266",268,11.6875,4,134,95,2560,14.2,78,3,"toyota corona"
"267",269,11.56,4,119,97,2300,14.7,78,3,"datsun 510"
"268",270,13.1325,4,105,75,2230,14.5,78,1,"dodge omni"
"269",271,8.9675,4,134,95,2515,14.8,78,3,"toyota celica gt liftback"
"270",272,9.86,4,156,105,2745,16.7,78,1,"plymouth sapporo"
"271",273,10.115,4,151,85,2855,17.6,78,1,"oldsmobile starfire sx"
"272",274,10.1575,4,119,97,2405,14.9,78,3,"datsun 200-sx"
"273",275,8.6275,5,131,103,2830,15.9,78,2,"audi 5000"
"274",276,7.225,6,163,125,3140,13.6,78,2,"volvo 264gl"
"275",277,9.18,4,121,115,2795,15.7,78,2,"saab 99gle"
"276",278,6.885,6,163,133,3410,15.8,78,2,"peugeot 604sl"
"277",279,13.3875,4,89,71,1990,14.9,78,2,"volkswagen scirocco"
"278",280,12.5375,4,98,68,2135,16.6,78,3,"honda accord lx"
"279",281,9.1375,6,231,115,3245,15.4,79,1,"pontiac lemans v6"
"280",282,8.415,6,200,85,2990,18.2,79,1,"mercury zephyr 6"
"281",283,9.4775,4,140,88,2890,17.3,79,1,"ford fairmont 4"
"282",284,8.585,6,232,90,3265,18.2,79,1,"amc concord dl 6"
"283",285,8.755,6,225,110,3360,16.6,79,1,"dodge aspen 6"
"284",286,7.225,8,305,130,3840,15.4,79,1,"chevrolet caprice classic"
"285",287,7.48,8,302,129,3725,13.4,79,1,"ford ltd landau"
"286",288,7.0125,8,351,138,3955,13.2,79,1,"mercury grand marquis"
"287",289,7.735,8,318,135,3830,15.2,79,1,"dodge st. regis"
"288",290,7.1825,8,350,155,4360,14.9,79,1,"buick estate wagon (sw)"
"289",291,6.5875,8,351,142,4054,14.3,79,1,"ford country squire (sw)"
"290",292,8.16,8,267,125,3605,15,79,1,"chevrolet malibu classic (sw)"
"291",293,7.8625,8,360,150,3940,13,79,1,"chrysler lebaron town @ country (sw)"
"292",294,13.5575,4,89,71,1925,14,79,2,"vw rabbit custom"
"293",295,14.4925,4,86,65,1975,15.2,79,3,"maxda glc deluxe"
"294",296,15.1725,4,98,80,1915,14.4,79,1,"dodge colt hatchback custom"
"295",297,11.645,4,121,80,2670,15,79,1,"amc spirit dl"
"296",298,10.795,5,183,77,3530,20.1,79,2,"mercedes benz 300d"
"297",299,9.775,8,350,125,3900,17.4,79,1,"cadillac eldorado"
"298",300,11.56,4,141,71,3190,24.8,79,2,"peugeot 504"
"299",301,10.1575,8,260,90,3420,22.2,79,1,"oldsmobile cutlass salon brougham"
"300",302,14.535,4,105,70,2200,13.2,79,1,"plymouth horizon"
"301",303,14.6625,4,105,70,2150,14.9,79,1,"plymouth horizon tc3"
"302",304,13.515,4,85,65,2020,19.2,79,3,"datsun 210"
"303",305,15.8525,4,91,69,2130,14.7,79,2,"fiat strada custom"
"304",306,12.07,4,151,90,2670,16,79,1,"buick skylark limited"
"305",307,12.24,6,173,115,2595,11.3,79,1,"chevrolet citation"
"306",308,11.39,6,173,115,2700,12.9,79,1,"oldsmobile omega brougham"
"307",309,14.2375,4,151,90,2556,13.2,79,1,"pontiac phoenix"
"308",310,17.6375,4,98,76,2144,14.7,80,2,"vw rabbit"
"309",311,16.1925,4,89,60,1968,18.8,80,3,"toyota corolla tercel"
"310",312,13.6425,4,98,70,2120,15.5,80,1,"chevrolet chevette"
"311",313,15.81,4,86,65,2019,16.4,80,3,"datsun 310"
"312",314,11.9,4,151,90,2678,16.5,80,1,"chevrolet citation"
"313",315,11.22,4,140,88,2870,18.1,80,1,"ford fairmont"
"314",316,10.3275,4,151,90,3003,20.1,80,1,"amc concord"
"315",317,8.1175,6,225,90,3381,18.7,80,1,"dodge aspen"
"316",318,14.5775,4,97,78,2188,15.8,80,2,"audi 4000"
"317",319,12.665,4,134,90,2711,15.5,80,3,"toyota corona liftback"
"318",320,13.3025,4,120,75,2542,17.5,80,3,"mazda 626"
"319",321,15.725,4,119,92,2434,15,80,3,"datsun 510 hatchback"
"320",322,13.685,4,108,75,2265,15.2,80,3,"toyota corolla"
"321",323,19.805,4,86,65,2110,17.9,80,3,"mazda glc"
"322",324,11.8575,4,156,105,2800,14.4,80,1,"dodge colt"
"323",325,17.34,4,85,65,2110,19.2,80,3,"datsun 210"
"324",326,18.8275,4,90,48,2085,21.7,80,2,"vw rabbit c (diesel)"
"325",327,18.445,4,90,48,2335,23.7,80,2,"vw dasher (diesel)"
"326",328,15.47,5,121,67,2950,19.9,80,2,"audi 5000s (diesel)"
"327",329,12.75,4,146,67,3250,21.8,80,2,"mercedes-benz 240d"
"328",330,18.955,4,91,67,1850,13.8,80,3,"honda civic 1500 gl"
"329",332,14.365,4,97,67,2145,18,80,3,"subaru dl"
"330",333,12.665,4,89,62,1845,15.3,80,2,"vokswagen rabbit"
"331",334,13.8975,6,168,132,2910,11.4,80,3,"datsun 280-zx"
"332",335,10.0725,3,70,100,2420,12.5,80,3,"mazda rx-7 gs"
"333",336,14.875,4,122,88,2500,15.1,80,2,"triumph tr7 coupe"
"334",338,13.77,4,107,72,2290,17,80,3,"honda accord"
"335",339,11.56,4,135,84,2490,15.7,81,1,"plymouth reliant"
"336",340,11.305,4,151,84,2635,16.4,81,1,"buick skylark"
"337",341,10.965,4,156,92,2620,14.4,81,1,"dodge aries wagon (sw)"
"338",342,9.9875,6,173,110,2725,12.6,81,1,"chevrolet citation"
"339",343,12.75,4,135,84,2385,12.9,81,1,"plymouth reliant"
"340",344,16.6175,4,79,58,1755,16.9,81,3,"toyota starlet"
"341",345,16.575,4,86,64,1875,16.4,81,1,"plymouth champ"
"342",346,14.9175,4,81,60,1760,16.1,81,3,"honda civic 1300"
"343",347,13.7275,4,97,67,2065,17.8,81,3,"subaru"
"344",348,15.725,4,85,65,1975,19.4,81,3,"datsun 210 mpg"
"345",349,16.0225,4,89,62,2050,17.3,81,3,"toyota tercel"
"346",350,14.4925,4,91,68,1985,16,81,3,"mazda glc 4"
"347",351,14.7475,4,105,63,2215,14.9,81,1,"plymouth horizon 4"
"348",352,14.62,4,98,65,2045,16.2,81,1,"ford escort 4w"
"349",353,12.7075,4,98,65,2380,20.7,81,1,"ford escort 2h"
"350",354,14.025,4,105,74,2190,14.2,81,2,"volkswagen jetta"
"351",356,14.3225,4,107,75,2210,14.4,81,3,"honda prelude"
"352",357,13.77,4,108,75,2350,16.8,81,3,"toyota corolla"
"353",358,13.9825,4,119,100,2615,14.8,81,3,"datsun 200sx"
"354",359,13.43,4,120,74,2635,18.3,81,3,"mazda 626"
"355",360,11.9425,4,141,80,3230,20.4,81,2,"peugeot 505s turbo diesel"
"356",361,13.0475,6,145,76,3160,19.6,81,2,"volvo diesel"
"357",362,10.795,6,168,116,2900,12.6,81,3,"toyota cressida"
"358",363,10.285,6,146,120,2930,13.8,81,3,"datsun 810 maxima"
"359",364,9.52,6,231,110,3415,15.8,81,1,"buick century"
"360",365,11.305,8,350,105,3725,19,81,1,"oldsmobile cutlass ls"
"361",366,8.585,6,200,88,3060,17.1,81,1,"ford granada gl"
"362",367,7.48,6,225,85,3465,16.6,81,1,"chrysler lebaron salon"
"363",368,11.9,4,112,88,2605,19.6,82,1,"chevrolet cavalier"
"364",369,11.475,4,112,88,2640,18.6,82,1,"chevrolet cavalier wagon"
"365",370,14.45,4,112,88,2395,18,82,1,"chevrolet cavalier 2-door"
"366",371,13.175,4,112,85,2575,16.2,82,1,"pontiac j2000 se hatchback"
"367",372,12.325,4,135,84,2525,16,82,1,"dodge aries se"
"368",373,11.475,4,151,90,2735,18,82,1,"pontiac phoenix"
"369",374,10.2,4,140,92,2865,16.4,82,1,"ford fairmont futura"
"370",375,15.3,4,105,74,1980,15.3,82,2,"volkswagen rabbit l"
"371",376,15.725,4,91,68,2025,18.2,82,3,"mazda glc custom l"
"372",377,13.175,4,91,68,1970,17.6,82,3,"mazda glc custom"
"373",378,16.15,4,105,63,2125,14.7,82,1,"plymouth horizon miser"
"374",379,15.3,4,98,70,2125,17.3,82,1,"mercury lynx l"
"375",380,15.3,4,120,88,2160,14.5,82,3,"nissan stanza xe"
"376",381,15.3,4,107,75,2205,14.5,82,3,"honda accord"
"377",382,14.45,4,108,70,2245,16.9,82,3,"toyota corolla"
"378",383,16.15,4,91,67,1965,15,82,3,"honda civic"
"379",384,13.6,4,91,67,1965,15.7,82,3,"honda civic (auto)"
"380",385,16.15,4,91,67,1995,16.2,82,3,"datsun 310 gx"
"381",386,10.625,6,181,110,2945,16.4,82,1,"buick century limited"
"382",387,16.15,6,262,85,3015,17,82,1,"oldsmobile cutlass ciera (diesel)"
"383",388,11.05,4,156,92,2585,14.5,82,1,"chrysler lebaron medallion"
